x,y,Temperature
1.199999999999999956e-01,5.999999999999999778e-01,3.000000000000000000e+01
1.600000000000000033e-01,5.999999999999999778e-01,3.000000000000000000e+01
2.000000000000000111e-01,5.999999999999999778e-01,3.000000000000000000e+01
2.399999999999999911e-01,5.999999999999999778e-01,3.000000000000000000e+01
2.800000000000000266e-01,5.999999999999999778e-01,3.000000000000000000e+01
3.200000000000000067e-01,5.999999999999999778e-01,3.000000000000000000e+01
3.599999999999999867e-01,5.999999999999999778e-01,3.000000000000000000e+01
4.000000000000000222e-01,5.999999999999999778e-01,3.000000000000000000e+01
4.400000000000000022e-01,5.999999999999999778e-01,3.000000000000000000e+01
4.799999999999999822e-01,5.999999999999999778e-01,3.000000000000000000e+01
5.200000000000000178e-01,5.999999999999999778e-01,3.000000000000000000e+01
5.600000000000000533e-01,5.999999999999999778e-01,3.000000000000000000e+01
5.999999999999999778e-01,5.999999999999999778e-01,3.000000000000000000e+01
6.400000000000000133e-01,5.999999999999999778e-01,3.000000000000000000e+01
6.800000000000000488e-01,5.999999999999999778e-01,3.000000000000000000e+01
7.199999999999999734e-01,5.999999999999999778e-01,3.000000000000000000e+01
7.600000000000000089e-01,5.999999999999999778e-01,3.000000000000000000e+01
8.000000000000000444e-01,5.999999999999999778e-01,3.000000000000000000e+01
